1	-88.9470	-273.5220	-180.6340
2	159.4250	-284.4240	-170.0800
3	-10.0000	-690.0000	-150.0000
4	-20.1110	-326.2690	55.4450
5	149.5170	-335.6410	49.1970
6	27.0000	-625.0000	150.0000
7	15.0000	-560.0000	-109.0000
8	15.0000	-455.0000	150.0000
9	-102.1000	-679.4500	103.3500
10	-130.0000	-340.0000	15.0000
11	15.0000	-40.0000	120.0000
12	15.0000	-330.0000	220.0000
13	0.0000	-710.0000	0.0000
14	0.0000	-720.0000	0.0000
15	55.0000	-360.0000	120.0000
16	-25.0000	-360.0000	120.0000
17	220.0000	-415.0000	185.0000
18	255.0000	-355.0000	385.0000
19	30.0000	-475.0000	390.0000
20	160.0000	-450.0000	350.0000
21	220.0000	-190.0000	475.0000
22	135.0000	-790.0000	335.0000
201	-88.9470	273.5220	-180.6340
202	159.4250	284.4240	-170.0800
203	-10.0000	690.0000	-150.0000
204	-20.1110	326.2690	55.4450
205	149.5170	335.6410	49.1970
206	27.0000	625.0000	150.0000
207	15.0000	560.0000	-109.0000
208	15.0000	455.0000	150.0000
209	-102.1000	679.4500	103.3500
210	-130.0000	340.0000	15.0000
211	15.0000	40.0000	120.0000
212	15.0000	330.0000	220.0000
213	0.0000	710.0000	0.0000
214	0.0000	720.0000	0.0000
215	55.0000	360.0000	120.0000
216	-25.0000	360.0000	120.0000
217	220.0000	415.0000	185.0000
218	255.0000	355.0000	385.0000
219	30.0000	475.0000	390.0000
220	160.0000	450.0000	350.0000
221	220.0000	190.0000	475.0000
222	135.0000	790.0000	335.0000
45	0.6450	-390.0000	-164.2850
46	0.6450	390.0000	-164.2850
47	-7.3580	-390.0000	-225.0000
48	-7.3580	390.0000	-225.0000
49	-141.4170	-385.0000	-227.8100
50	-141.4170	385.0000	-227.8100
51	-141.4170	0.0000	-227.8100
52	7.3575	-455.0875	-108.2275
53	7.3575	455.0875	-108.2275
54	-242.6425	-386.8244	-58.2275
55	-242.6425	386.8244	-58.2275
