0	6110	0	0.06	6.28	6.31	16.07	15.87	0.13	100	228.58
1.268	6126	0.14	0.05	6.18	6.25	15.46	15.39	0.12	100	228.3
2.571	6094	0.04	0	6.3	6.34	15.35	15.41	0.12	100	228.06
3.859	6104	0.06	0.1	6.85	6.85	16.21	16.41	0.13	100	228.66
5.149	6106	-0.12	0.24	7.64	7.7	17.65	17.61	0.13	100	228.99
6.439	6104	-0.11	0.31	8.79	8.83	19.24	18.86	0.13	100	228.85
7.729	6115	0.16	0.07	9.64	9.69	20.6	20.16	0.14	100	229.02
9.022	6095	0.21	-0.08	10.06	10.06	21.57	21.19	0.14	100	229.62
10.316	6109	-0.05	-0.09	9.99	10	21.91	21.64	0.14	100	229.64
11.608	6104	-0.08	-0.06	9.65	9.69	21.57	21.21	0.14	100	229.27
12.899	6115	0.21	0.03	9.35	9.37	20.53	20.02	0.14	100	229.11
14.191	6138	0.38	0.1	8.97	9	19.2	18.57	0.14	100	229.34
15.482	6123	0.02	0.15	8.43	8.46	17.95	17.34	0.14	100	229.21
16.774	6118	-0.23	0.03	7.92	7.94	17.38	16.93	0.13	100	229.31
18.065	6116	-0.1	0.03	7.99	7.98	17.38	17.1	0.13	100	229.13
19.355	6122	0.14	0.2	8.52	8.52	17.93	17.58	0.14	100	229.07
20.649	6124	0.11	0.16	9.1	9.11	19	18.7	0.13	100	229.64
21.941	6114	-0.05	0.02	9.14	9.19	20.32	20.06	0.14	100	229.38
23.232	6124	0.02	-0.02	9	9.02	21.16	21.02	0.14	100	229.15
24.526	6109	0.01	0.14	8.86	8.89	21.1	20.75	0.14	100	229.7
25.819	6136	0.23	0.1	8.92	9	20.4	19.84	0.14	100	229.47
27.11	6136	0.24	0.06	8.57	8.64	19.58	18.92	0.14	100	229.24
28.402	6122	-0.01	-0.08	7.81	7.88	18.95	18.28	0.13	100	229.32
29.696	6137	-0.03	-0.16	6.85	6.88	18.15	17.57	0.12	100	229.56
30.99	6145	0.19	-0.02	6.46	6.57	17.24	16.74	0.11	100	229.8
32.286	6145	0.14	0.2	6.84	6.93	16.39	16.03	0.11	100	229.9
33.581	6165	0.06	0.09	7.6	7.65	16.31	16.05	0.11	100	230.01
34.877	6130	-0.02	0.05	8.25	8.29	17.45	17.14	0.12	100	230.04
36.171	6130	0.02	0.13	8.64	8.74	19.41	19.07	0.13	100	229.56
37.465	6142	0.03	0.14	8.75	8.91	21.09	20.71	0.14	100	229.83
38.762	6129	0.14	-0.12	8.82	8.98	21.89	21.46	0.14	100	230.12
40.059	6143	0.1	-0.11	9.04	9.26	21.64	21.08	0.15	100	230.25
41.357	6146	0.09	0.14	9.25	9.43	20.7	20.03	0.15	100	230.4
42.654	6147	0.18	0.14	9.45	9.62	19.47	18.76	0.15	100	230.2
43.954	6148	0.32	0.04	9.4	9.47	18.76	17.94	0.16	100	230.69
45.253	6145	-0.01	0.04	9.27	9.38	19.04	18.16	0.16	100	230.7
46.55	6141	-0.12	-0.08	9.14	9.23	20.15	19.24	0.16	100	230.25
47.85	6122	-0.01	0.04	9.02	9.12	21.19	20.35	0.15	100	230.67
49.149	6148	0.05	0.09	8.98	9.02	21.74	20.89	0.15	100	230.5
50.448	6143	-0.05	0.12	8.85	8.86	21.45	20.69	0.15	100	230.67
51.749	6152	0.02	0.05	8.52	8.52	20.49	19.87	0.15	100	230.92
53.049	6160	0.09	0.18	8.09	8.03	19.24	18.68	0.15	100	230.73
54.351	6150	0.2	0.05	7.53	7.43	18.11	17.51	0.16	100	231.18
55.654	6169	-0.08	0	7.02	6.91	17.37	16.81	0.16	100	231.16
56.956	6155	-0.13	0	6.72	6.67	17.01	16.42	0.17	100	231.09
58.258	6164	-0.03	0.09	6.95	6.91	17.01	16.33	0.18	100	231.16
59.559	6157	-0.01	0	7.55	7.52	17.48	16.65	0.17	100	230.95
60.859	6156	0	0.04	8.21	8.17	18.47	17.82	0.17	100	230.83
62.16	6148	-0.26	0.08	8.57	8.59	19.88	19.2	0.17	100	230.8
63.461	6154	-0.37	0.14	8.74	8.8	21.13	20.33	0.16	100	230.94
64.765	6172	0.1	0	8.85	8.91	21.85	20.87	0.16	100	231.5
66.069	6159	-0.11	0.04	9	9.04	21.73	21.02	0.16	100	231.53
67.372	6171	-0.14	0	9.07	9.1	21.39	20.68	0.16	100	231.3
68.676	6187	0.32	0.03	8.85	8.87	20.88	20.18	0.15	100	231.33
69.978	6153	0.04	0	8.47	8.5	20.49	19.62	0.15	100	231.1
71.281	6180	-0.31	0.03	8.15	8.2	19.8	19.04	0.15	100	231.29
72.581	6176	-0.03	0.16	8.17	8.24	19.15	18.42	0.15	100	230.84
73.882	6166	0.04	0.17	8.4	8.41	18.75	18.12	0.16	100	230.86
75.185	6169	-0.06	0.09	8.61	8.59	18.98	18.5	0.15	100	231.28
76.49	6163	0.03	0.12	8.77	8.73	19.74	19.28	0.15	100	231.65
77.793	6164	0.17	0.02	8.95	8.9	20.58	20.14	0.15	100	231.42
79.098	6164	0.11	-0.02	9.19	9.11	21.18	20.76	0.16	100	231.58
80.401	6183	-0.18	-0.09	9.5	9.39	21.5	21.08	0.17	100	231.34
81.706	6177	-0.05	-0.06	9.67	9.59	21.6	21.05	0.16	100	231.64
83.01	6181	-0.11	0.17	9.58	9.56	21.67	21.07	0.16	100	231.33
84.314	6178	-0.09	-0.02	9.06	9.01	21.64	21.05	0.16	100	231.54
85.62	6156	-0.14	0.03	8.38	8.3	21.31	20.9	0.16	100	231.78
86.925	6188	-0.2	0.13	7.89	7.78	20.53	20.08	0.16	100	231.72
88.232	6175	-0.01	-0.11	7.91	7.73	19.34	18.77	0.15	100	231.86
89.539	6188	-0.07	0.15	8.06	7.9	18.45	17.66	0.14	100	232.02
90.845	6181	0.08	0.04	8.19	8.08	18.19	17.29	0.14	100	231.91
92.153	6169	0.12	-0.03	8.11	8.14	18.77	17.9	0.13	100	232.15
93.459	6163	-0.1	-0.02	8.19	8.3	19.61	18.92	0.12	100	231.76
94.766	6187	0	0.04	8.59	8.63	20.21	19.87	0.11	100	231.98
96.075	6167	0.07	0.12	9.13	9.18	20.6	20.38	0.11	100	232.34
97.383	6193	-0.01	0.18	9.59	9.58	21.06	20.74	0.11	100	232.2
